IdBuque;Buque;CFR;Censo;Geom;Latitud;Longitud;IdPosicion;Fecha;Hora;Velocidad;Rumbo;IdSuceso;TipoSuceso;IdDiario;HojaMarea
35404709;RIA CEDEIRA;ESP000026658;RASCO EN CANTABRICO NW;0xE6100000010C8751103CBEC526C002B859BC582E4540;42,362083;-11,386217;256522556;2024-05-29;04:56;9,5;245;0;Posicion;2299321;ESP-TRP-02665820240528154153
35404709;RIA CEDEIRA;ESP000026658;RASCO EN CANTABRICO NW;0xE6100000010C1B8524B37A1F27C00C94145800274540;42,304698;-11,561483;256524036;2024-05-29;05:56;8,7;238;0;Posicion;2299321;ESP-TRP-02665820240528154153
35404709;RIA CEDEIRA;ESP000026658;RASCO EN CANTABRICO NW;0xE6100000010CD2C5A695424827C0A12C7C7DAD234540;42,278732;-11,641133;256524869;2024-05-29;06:24;7,6;250;4;Bloqueo antena;2299321;ESP-TRP-02665820240528154153
35404709;RIA CEDEIRA;ESP000026658;RASCO EN CANTABRICO NW;0xE6100000010C2AA913D0447827C027F6D03E56204540;42,252632;-11,7349;256525524;2024-05-29;06:56;8,4;255;0;Posicion;2299321;ESP-TRP-02665820240528154153
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C090000E0BF9127C0000000008C454540;42,5433349609375;-11,7846670150757;258835801;2024-08-03;17:28;9,6;94;0;Posicion;2259359;ESP-TRP-02548220240412192924
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CF8FFFFDFD02227C0FCFFFF3F28434540;42,5246658325195;-11,5679998397827;258837081;2024-08-03;18:29;9;94;0;Posicion;2259359;ESP-TRP-02548220240412192924
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CFFFFFFDF06BA26C00400006057404540;42,5026664733887;-11,3633337020874;258838110;2024-08-03;19:29;9,2;103;0;Posicion;2259359;ESP-TRP-02548220240412192924
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C160000C0726828C005000080A4494540;42,5753326416016;-12,2040004730225;258833611;2024-08-03;15:28;8,4;90;0;Posicion;2259359;ESP-TRP-02548220240412192924
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C040000C0F3FD27C0050000806C474540;42,5579986572266;-11,996000289917;258834670;2024-08-03;16:28;8,4;83;0;Posicion;2259359;ESP-TRP-02548220240412192924
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C14000040517F28C0FCFFFFFF64344540;42,4093322753906;-12,2486667633057;256735857;2024-06-04;21:17;8;64;0;Posicion;2295671;ESP-TRP-01136420240524011921
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF0FFFF1FEADF27C0040000002B474540;42,5559997558594;-11,9373331069946;256738408;2024-06-04;23:17;8,2;52;0;Posicion;2295671;ESP-TRP-01136420240524011921
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CF8FFFF3F89C126C0010000C0CC2C4540;42,3499984741211;-11,3780002593994;256425732;2024-05-26;15:17;9;252;0;Posicion;2295671;ESP-TRP-01136420240524011921
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C00000000008027C00000000038224540;42,267333984375;-11,75;256427955;2024-05-26;17:17;8,6;258;0;Posicion;2295671;ESP-TRP-01136420240524011921
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010C0C00002092A626C0070000001E6C4540;42,8446655273438;-11,3253335952759;256743799;2024-06-05;03:17;8,2;56;0;Posicion;2295671;ESP-TRP-01136420240524011921
35276;SIEMPRE RUFO;ESP000011364;PALANGRE DE FONDO EN CANTABRICO NW;0xE6100000010CEFFFFFBF114A27C0040000C09F5A4540;42,7080001831055;-11,6446666717529;256741020;2024-06-05;01:17;7,4;62;0;Posicion;2295671;ESP-TRP-01136420240524011921
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CF5FFFF9F6E1227C007000000FE344540;42,4140014648438;-11,53600025177;260723734;2024-10-02;09:29;5,2;104;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C0D0000E0B2D626C0070000A0D5314540;42,389331817627;-11,4193334579468;260725279;2024-10-02;10:29;4,8;94;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C120000C09F9A26C0FDFFFF5FAD2E4540;42,3646659851074;-11,3020000457764;260726479;2024-10-02;11:28;5,2;100;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C080000202F5D26C0F9FFFF5FF22B4540;42,343334197998;-11,1820001602173;260727697;2024-10-02;12:28;5,2;97;0;Posicion;2371191;ESP-TRP-02548220240821154051
